key,cells
b'00752ffc-da9b-48cd-a911-5f60504bd988',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679237474033000, 'value': b'61'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679237474033000, 'value': b'29'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679237474033000, 'value': b'1976-08-01T12:43:55'}]"
b'013f7024-39d5-4eec-887c-050e220a75b9',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239099314000, 'value': b'39'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239099314000, 'value': b'34'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239099314000, 'value': b'2023-03-19T15:18:09.026690'}]"
b'025a620b-fef1-47b0-ad1c-eed62cfc94b5',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679238810851000, 'value': b'30'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679238810851000, 'value': b'39'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679238810851000, 'value': b'2023-03-19T15:13:30.145010'}]"
b'04093549-327f-4feb-a4fe-9ce6b5e99f77',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239091430000, 'value': b'31'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239091430000, 'value': b'37'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239091430000, 'value': b'2023-03-19T15:18:09.734158'}]"
b'04bc90d0-0929-4f4e-bf0e-bdfe33a640e4',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679238824277000, 'value': b'58'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679238824277000, 'value': b'39'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679238824277000, 'value': b'2023-03-19T15:13:38.607728'}]"
b'07df6975-25eb-4293-9cc6-02873314065f',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679238805841000, 'value': b'41'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679238805841000, 'value': b'40'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679238805841000, 'value': b'2023-03-19T15:13:24.123842'}]"
b'0a397021-62cb-4026-bf86-c123eb1b392c',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239094328000, 'value': b'52'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239094328000, 'value': b'25'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239094328000, 'value': b'2023-03-19T15:18:13.684271'}]"
b'0b2950a0-e872-452d-9e53-b024fa834701',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679238820121000, 'value': b'47'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679238820121000, 'value': b'27'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679238820121000, 'value': b'2023-03-19T15:13:38.402139'}]"
b'0d6c3790-e53a-4dcf-9396-fff4daac8bad',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239098872000, 'value': b'51'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239098872000, 'value': b'32'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239098872000, 'value': b'2023-03-19T15:18:08.380071'}]"
b'0e7a8de5-f172-4d4e-99bd-6299fe5bc028',"[{'family': 'my-family', 'qualifier': b'humidity', 'timestamp': 1679239087260000, 'value': b'37'}
 {'family': 'my-family', 'qualifier': b'temperature', 'timestamp': 1679239087260000, 'value': b'32'}
 {'family': 'my-family', 'qualifier': b'timestamp', 'timestamp': 1679239087260000, 'value': b'2023-03-19T15:18:05.226328'}]"
